product_id,encoded_id
67330a3c92cf51064c522a02,0
67330a9c92cf51064c522a06,1
67330af592cf51064c522a0a,2
67330b3492cf51064c522a0e,3
67330bbd92cf51064c522a12,4
67330bf092cf51064c522a16,5
67330cd992cf51064c522a1a,6
67330d4892cf51064c522a1e,7
67330d8592cf51064c522a22,8
67558e4a9d64896320e763a6,9
67558f039d64896320e763aa,10
675590c39d64896320e763e9,11
